E,RH,LocalDateTime
9.3,0.64,02/23/1980 00:00:00
8.2,0.71,02/24/1980 00:00:00
6.9,0.76,02/25/1980 00:00:00
4.5,0.81,02/26/1980 00:00:00
4.1,0.78,02/27/1980 00:00:00
5.4,0.78,02/28/1980 00:00:00
8.3,0.74,02/29/1980 00:00:00
5.5,0.79,03/01/1980 00:00:00
5,0.79,03/02/1980 00:00:00
5.5,0.76,03/03/1980 00:00:00
5,0.79,03/04/1980 00:00:00
6.2,0.74,03/05/1980 00:00:00
5.1,0.78,03/06/1980 00:00:00
5.2,0.75,03/07/1980 00:00:00
6,0.74,03/08/1980 00:00:00
6.1,0.7,03/09/1980 00:00:00
5.5,0.75,03/10/1980 00:00:00
5.4,0.75,03/11/1980 00:00:00
8,0.68,03/12/1980 00:00:00
8.9,0.63,03/13/1980 00:00:00
8.7,0.64,03/14/1980 00:00:00
10,0.57,03/15/1980 00:00:00
8.4,0.63,03/16/1980 00:00:00
6,0.68,03/17/1980 00:00:00
5.7,0.71,03/18/1980 00:00:00
6.5,0.72,03/19/1980 00:00:00
7.1,0.68,03/20/1980 00:00:00
7,0.7,03/21/1980 00:00:00
5.6,0.75,03/22/1980 00:00:00
7.3,0.67,03/23/1980 00:00:00
7.8,0.62,03/24/1980 00:00:00
8,0.67,03/25/1980 00:00:00
7,0.67,03/26/1980 00:00:00
8.1,0.64,03/27/1980 00:00:00
7,0.74,03/28/1980 00:00:00
7.3,0.69,03/29/1980 00:00:00
7.3,0.75,03/30/1980 00:00:00
6.2,0.75,03/31/1980 00:00:00
6.5,0.73,04/01/1980 00:00:00
9.1,0.62,04/02/1980 00:00:00
9.6,0.58,04/03/1980 00:00:00
8.6,0.63,04/04/1980 00:00:00
9.3,0.67,04/05/1980 00:00:00
8.7,0.7,04/06/1980 00:00:00
8.6,0.66,04/07/1980 00:00:00
6.3,0.71,04/08/1980 00:00:00
5.9,0.73,04/09/1980 00:00:00
6.3,0.74,04/10/1980 00:00:00
5.5,0.75,04/11/1980 00:00:00
6,0.76,04/12/1980 00:00:00
5.9,0.73,04/13/1980 00:00:00
5.3,0.73,04/14/1980 00:00:00
7,0.72,04/15/1980 00:00:00
6.3,0.71,04/16/1980 00:00:00
5.2,0.74,04/17/1980 00:00:00
6.2,0.7,04/18/1980 00:00:00
7,0.74,04/19/1980 00:00:00
7.4,0.7,04/20/1980 00:00:00
6.6,0.7,04/21/1980 00:00:00
7.3,0.7,04/22/1980 00:00:00
6.5,0.71,04/23/1980 00:00:00
7.4,0.7,04/24/1980 00:00:00
7.7,0.69,04/25/1980 00:00:00
7.1,0.72,04/26/1980 00:00:00
7,0.74,04/27/1980 00:00:00
7,0.72,04/28/1980 00:00:00
7.2,0.7,04/29/1980 00:00:00
8.3,0.67,04/30/1980 00:00:00
6.6,0.72,05/01/1980 00:00:00
7.6,0.66,05/02/1980 00:00:00
6.7,0.69,05/03/1980 00:00:00
7.3,0.7,05/04/1980 00:00:00
7,0.65,05/05/1980 00:00:00
6.1,0.73,05/06/1980 00:00:00
4.9,0.76,05/07/1980 00:00:00
4.5,0.76,05/08/1980 00:00:00
2.9,0.85,05/09/1980 00:00:00
4.5,0.76,05/10/1980 00:00:00
4.3,0.76,05/11/1980 00:00:00
5.5,0.74,05/12/1980 00:00:00
5.6,0.75,05/13/1980 00:00:00
6,0.7,05/14/1980 00:00:00
5.5,0.78,05/15/1980 00:00:00
1.4,0.91,05/16/1980 00:00:00
3,0.84,05/17/1980 00:00:00
1.9,0.85,05/18/1980 00:00:00
2.2,0.84,05/19/1980 00:00:00
3,0.84,05/20/1980 00:00:00
2.5,0.84,05/21/1980 00:00:00
2.6,0.9,05/22/1980 00:00:00
3.1,0.84,05/23/1980 00:00:00
4.2,0.79,05/24/1980 00:00:00
3.6,0.78,05/25/1980 00:00:00
3.9,0.76,05/26/1980 00:00:00
4.2,0.78,05/27/1980 00:00:00
3.3,0.78,05/28/1980 00:00:00
3.6,0.81,05/29/1980 00:00:00
3.6,0.78,05/30/1980 00:00:00
4.8,0.77,05/31/1980 00:00:00
3.8,0.79,06/01/1980 00:00:00
3.7,0.84,06/02/1980 00:00:00
2.9,0.82,06/03/1980 00:00:00
4.6,0.76,06/04/1980 00:00:00
3.5,0.84,06/05/1980 00:00:00
3.1,0.82,06/06/1980 00:00:00
3.6,0.78,06/07/1980 00:00:00
2.7,0.87,06/08/1980 00:00:00
1.9,0.9,06/09/1980 00:00:00
1.7,0.88,06/10/1980 00:00:00
1.5,0.94,06/11/1980 00:00:00
2.5,0.85,06/12/1980 00:00:00
2.4,0.83,06/13/1980 00:00:00
3.3,0.82,06/14/1980 00:00:00
2.9,0.84,06/15/1980 00:00:00
2.5,0.9,06/16/1980 00:00:00
2.6,0.9,06/17/1980 00:00:00
0.8,0.95,06/18/1980 00:00:00
1.7,0.9,06/19/1980 00:00:00
1.4,0.92,06/20/1980 00:00:00
2.2,0.85,06/21/1980 00:00:00
3.1,0.78,06/22/1980 00:00:00
3.7,0.84,06/23/1980 00:00:00
1.8,0.9,06/24/1980 00:00:00
3.5,0.84,06/25/1980 00:00:00
5.7,0.78,06/26/1980 00:00:00
4.9,0.82,06/27/1980 00:00:00
4.6,0.82,06/28/1980 00:00:00
2.2,0.84,06/29/1980 00:00:00
4.5,0.85,06/30/1980 00:00:00
3.1,0.91,07/01/1980 00:00:00
4.6,0.82,07/02/1980 00:00:00
2.9,0.92,07/03/1980 00:00:00
2.4,0.88,07/04/1980 00:00:00
2.5,0.85,07/05/1980 00:00:00
2.7,0.81,07/06/1980 00:00:00
3.7,0.84,07/07/1980 00:00:00
2.4,0.88,07/08/1980 00:00:00
1.5,0.9,07/09/1980 00:00:00
3.9,0.85,07/10/1980 00:00:00
5.1,0.79,07/11/1980 00:00:00
4.6,0.82,07/12/1980 00:00:00
4.3,0.78,07/13/1980 00:00:00
5.2,0.81,07/14/1980 00:00:00
5.1,0.76,07/15/1980 00:00:00
4.1,0.78,07/16/1980 00:00:00
3.4,0.85,07/17/1980 00:00:00
4,0.82,07/18/1980 00:00:00
2.9,0.83,07/19/1980 00:00:00
1.8,0.92,07/20/1980 00:00:00
3.3,0.85,07/21/1980 00:00:00
3.2,0.85,07/22/1980 00:00:00
2.6,0.85,07/23/1980 00:00:00
3.2,0.88,07/24/1980 00:00:00
3,0.81,07/25/1980 00:00:00
2.7,0.9,07/26/1980 00:00:00
1.4,0.92,07/27/1980 00:00:00
2.8,0.87,07/28/1980 00:00:00
2.9,0.83,07/29/1980 00:00:00
3.6,0.81,07/30/1980 00:00:00
3.9,0.78,07/31/1980 00:00:00
3.1,0.83,08/01/1980 00:00:00
2.1,0.88,08/02/1980 00:00:00
3.1,0.84,08/03/1980 00:00:00
3.6,0.82,08/04/1980 00:00:00
5.5,0.77,08/05/1980 00:00:00
3.9,0.82,08/06/1980 00:00:00
3,0.83,08/07/1980 00:00:00
3.3,0.84,08/08/1980 00:00:00
1.4,0.9,08/09/1980 00:00:00
2.3,0.92,08/10/1980 00:00:00
2.6,0.83,08/11/1980 00:00:00
2.6,0.87,08/12/1980 00:00:00
3.9,0.79,08/13/1980 00:00:00
3,0.85,08/14/1980 00:00:00
2.6,0.83,08/15/1980 00:00:00
2.1,0.9,08/16/1980 00:00:00
2.3,0.9,08/17/1980 00:00:00
2.8,0.91,08/18/1980 00:00:00
3.5,0.82,08/19/1980 00:00:00
4.9,0.78,08/20/1980 00:00:00
5.5,0.79,08/21/1980 00:00:00
5.2,0.84,08/22/1980 00:00:00
2.2,0.87,08/23/1980 00:00:00
2.8,0.85,08/24/1980 00:00:00
4.4,0.82,08/25/1980 00:00:00
4.9,0.82,08/26/1980 00:00:00
3.9,0.87,08/27/1980 00:00:00
2.9,0.9,08/28/1980 00:00:00
2.4,0.92,08/29/1980 00:00:00
4.9,0.84,08/30/1980 00:00:00
3,0.85,08/31/1980 00:00:00
3.6,0.85,09/01/1980 00:00:00
3.9,0.84,09/02/1980 00:00:00
1.9,0.94,09/03/1980 00:00:00
2.6,0.88,09/04/1980 00:00:00
2.7,0.91,09/05/1980 00:00:00
4.4,0.82,09/06/1980 00:00:00
4,0.84,09/07/1980 00:00:00
3.2,0.87,09/08/1980 00:00:00
3.4,0.88,09/09/1980 00:00:00
1.2,0.94,09/10/1980 00:00:00
3,0.85,09/11/1980 00:00:00
4.8,0.81,09/12/1980 00:00:00
3.9,0.83,09/13/1980 00:00:00
3.2,0.85,09/14/1980 00:00:00
1.9,0.92,09/15/1980 00:00:00
4.3,0.83,09/16/1980 00:00:00
4.7,0.79,09/17/1980 00:00:00
4.5,0.78,09/18/1980 00:00:00
3.1,0.84,09/19/1980 00:00:00
3.2,0.81,09/20/1980 00:00:00
3.4,0.78,09/21/1980 00:00:00
4.4,0.78,09/22/1980 00:00:00
3.3,0.81,09/23/1980 00:00:00
3.9,0.79,09/24/1980 00:00:00
3.4,0.78,09/25/1980 00:00:00
3.2,0.85,09/26/1980 00:00:00
3.8,0.82,09/27/1980 00:00:00
3.5,0.85,09/28/1980 00:00:00
2.3,0.84,09/29/1980 00:00:00
1.6,0.9,09/30/1980 00:00:00
1.5,0.91,10/01/1980 00:00:00
2.6,0.85,10/02/1980 00:00:00
4.1,0.85,10/03/1980 00:00:00
4,0.85,10/04/1980 00:00:00
2.5,0.88,10/05/1980 00:00:00
3.3,0.84,10/06/1980 00:00:00
3.5,0.83,10/07/1980 00:00:00
2.5,0.82,10/08/1980 00:00:00
2.4,0.85,10/09/1980 00:00:00
4,0.78,10/10/1980 00:00:00
2.8,0.84,10/11/1980 00:00:00
3.7,0.76,10/12/1980 00:00:00
3.8,0.78,10/13/1980 00:00:00
5.4,0.78,10/14/1980 00:00:00
4.3,0.78,10/15/1980 00:00:00
4,0.82,10/16/1980 00:00:00
2.8,0.88,10/17/1980 00:00:00
2.6,0.85,10/18/1980 00:00:00
3.2,0.83,10/19/1980 00:00:00
1.8,0.92,10/20/1980 00:00:00
1.6,0.91,10/21/1980 00:00:00
2.4,0.88,10/22/1980 00:00:00
3.2,0.84,10/23/1980 00:00:00
2.3,0.9,10/24/1980 00:00:00
3.5,0.85,10/25/1980 00:00:00
2.4,0.9,10/26/1980 00:00:00
1.9,0.92,10/27/1980 00:00:00
3,0.85,10/28/1980 00:00:00
2.5,0.87,10/29/1980 00:00:00
3.5,0.82,10/30/1980 00:00:00
3,0.87,10/31/1980 00:00:00
4.4,0.82,11/01/1980 00:00:00
4,0.78,11/02/1980 00:00:00
2.7,0.9,11/03/1980 00:00:00
2.8,0.85,11/04/1980 00:00:00
2.3,0.91,11/05/1980 00:00:00
2.3,0.91,11/06/1980 00:00:00
3.7,0.83,11/07/1980 00:00:00
4.7,0.78,11/08/1980 00:00:00
4.3,0.78,11/09/1980 00:00:00
4.9,0.78,11/10/1980 00:00:00
4.4,0.82,11/11/1980 00:00:00
3.9,0.82,11/12/1980 00:00:00
7.7,0.76,11/13/1980 00:00:00
7.7,0.74,11/14/1980 00:00:00
5.6,0.77,11/15/1980 00:00:00
3.1,0.88,11/16/1980 00:00:00
3.2,0.85,11/17/1980 00:00:00
3.6,0.83,11/18/1980 00:00:00
2.9,0.83,11/19/1980 00:00:00
3,0.9,11/20/1980 00:00:00
2.4,0.88,11/21/1980 00:00:00
3.2,0.85,11/22/1980 00:00:00
3.1,0.85,11/23/1980 00:00:00
2.8,0.84,11/24/1980 00:00:00
4,0.77,11/25/1980 00:00:00
3.5,0.78,11/26/1980 00:00:00
3.5,0.82,11/27/1980 00:00:00
3.4,0.84,11/28/1980 00:00:00
3.9,0.82,11/29/1980 00:00:00
4.7,0.77,11/30/1980 00:00:00
4.5,0.76,12/01/1980 00:00:00
4.8,0.78,12/02/1980 00:00:00
2.5,0.9,12/03/1980 00:00:00
2.4,0.87,12/04/1980 00:00:00
3.5,0.78,12/05/1980 00:00:00
2.5,0.85,12/06/1980 00:00:00
2.6,0.83,12/07/1980 00:00:00
2.8,0.82,12/08/1980 00:00:00
4.1,0.78,12/09/1980 00:00:00
3.7,0.76,12/10/1980 00:00:00
3,0.82,12/11/1980 00:00:00
3.3,0.78,12/12/1980 00:00:00
3.6,0.79,12/13/1980 00:00:00
3.8,0.78,12/14/1980 00:00:00
2.3,0.85,12/15/1980 00:00:00
3,0.84,12/16/1980 00:00:00
3.4,0.85,12/17/1980 00:00:00
4.6,0.82,12/18/1980 00:00:00
3.7,0.78,12/19/1980 00:00:00
4.4,0.76,12/20/1980 00:00:00
4.9,0.71,12/21/1980 00:00:00
5,0.76,12/22/1980 00:00:00
5.3,0.71,12/23/1980 00:00:00
4.6,0.72,12/24/1980 00:00:00
5.2,0.76,12/25/1980 00:00:00
5.5,0.73,12/26/1980 00:00:00
3.5,0.82,12/27/1980 00:00:00
4.1,0.77,12/28/1980 00:00:00
5.3,0.74,12/29/1980 00:00:00
5.6,0.72,12/30/1980 00:00:00
3.9,0.77,12/31/1980 00:00:00
5.2,0.78,01/01/1981 00:00:00
3.9,0.82,01/02/1981 00:00:00
4.1,0.8,01/03/1981 00:00:00
3.9,0.81,01/04/1981 00:00:00
4,0.76,01/05/1981 00:00:00
4,0.76,01/06/1981 00:00:00
4,0.8,01/07/1981 00:00:00
4.3,0.78,01/08/1981 00:00:00
4.6,0.74,01/09/1981 00:00:00
4.3,0.74,01/10/1981 00:00:00
7.1,0.66,01/11/1981 00:00:00
7,0.62,01/12/1981 00:00:00
6.6,0.62,01/13/1981 00:00:00
3.8,0.75,01/14/1981 00:00:00
5.8,0.67,01/15/1981 00:00:00
4.3,0.79,01/16/1981 00:00:00
6.3,0.72,01/17/1981 00:00:00
4.8,0.75,01/18/1981 00:00:00
5.5,0.7,01/19/1981 00:00:00
6.7,0.7,01/20/1981 00:00:00
5,0.73,01/21/1981 00:00:00
4.6,0.76,01/22/1981 00:00:00
5.9,0.7,01/23/1981 00:00:00
5.8,0.73,01/24/1981 00:00:00
5.9,0.74,01/25/1981 00:00:00
4.9,0.72,01/26/1981 00:00:00
4.7,0.76,01/27/1981 00:00:00
4.8,0.77,01/28/1981 00:00:00
3.8,0.78,01/29/1981 00:00:00
3.8,0.79,01/30/1981 00:00:00
4.4,0.72,01/31/1981 00:00:00
5.7,0.68,02/01/1981 00:00:00
6.6,0.7,02/02/1981 00:00:00
5.9,0.73,02/03/1981 00:00:00
6.2,0.7,02/04/1981 00:00:00
4.8,0.75,02/05/1981 00:00:00
5.2,0.73,02/06/1981 00:00:00
6.1,0.67,02/07/1981 00:00:00
5.4,0.68,02/08/1981 00:00:00
6.1,0.7,02/09/1981 00:00:00
5.5,0.7,02/10/1981 00:00:00
6.4,0.68,02/11/1981 00:00:00
6.6,0.68,02/12/1981 00:00:00
5.8,0.73,02/13/1981 00:00:00
4.2,0.78,02/14/1981 00:00:00
5.4,0.74,02/15/1981 00:00:00
5.8,0.72,02/16/1981 00:00:00
5.7,0.72,02/17/1981 00:00:00
5.6,0.76,02/18/1981 00:00:00
5.5,0.77,02/19/1981 00:00:00
7,0.7,02/20/1981 00:00:00
6.7,0.7,02/21/1981 00:00:00
7.2,0.7,02/22/1981 00:00:00
5.5,0.76,02/23/1981 00:00:00
5.3,0.78,02/24/1981 00:00:00
6.1,0.74,02/25/1981 00:00:00
6.8,0.74,02/26/1981 00:00:00
9,0.66,02/27/1981 00:00:00
8.4,0.62,02/28/1981 00:00:00
8.6,0.64,03/01/1981 00:00:00
8.4,0.72,03/02/1981 00:00:00
8.9,0.58,03/03/1981 00:00:00
10.1,0.64,03/04/1981 00:00:00
8,0.67,03/05/1981 00:00:00
9.2,0.61,03/06/1981 00:00:00
10.2,0.62,03/07/1981 00:00:00
9.2,0.61,03/08/1981 00:00:00
7.7,0.67,03/09/1981 00:00:00
8.3,0.65,03/10/1981 00:00:00
8.6,0.67,03/11/1981 00:00:00
9.2,0.65,03/12/1981 00:00:00
7,0.74,03/13/1981 00:00:00
7.1,0.74,03/14/1981 00:00:00
6.2,0.74,03/15/1981 00:00:00
8.3,0.67,03/16/1981 00:00:00
6.6,0.75,03/17/1981 00:00:00
6.6,0.73,03/18/1981 00:00:00
6.4,0.72,03/19/1981 00:00:00
6.5,0.7,03/20/1981 00:00:00
5.9,0.77,03/21/1981 00:00:00
6.5,0.73,03/22/1981 00:00:00
6.7,0.7,03/23/1981 00:00:00
6.7,0.7,03/24/1981 00:00:00
6.6,0.73,03/25/1981 00:00:00
6.8,0.76,03/26/1981 00:00:00
7.9,0.68,03/27/1981 00:00:00
8.9,0.67,03/28/1981 00:00:00
10.7,0.63,03/29/1981 00:00:00
5.6,0.72,03/30/1981 00:00:00
7,0.67,03/31/1981 00:00:00
10.4,0.66,04/01/1981 00:00:00
8.1,0.64,04/02/1981 00:00:00
7.8,0.67,04/03/1981 00:00:00
7,0.73,04/04/1981 00:00:00
7.1,0.74,04/05/1981 00:00:00
6.1,0.76,04/06/1981 00:00:00
6.5,0.74,04/07/1981 00:00:00
7,0.72,04/08/1981 00:00:00
8.8,0.67,04/09/1981 00:00:00
8,0.73,04/10/1981 00:00:00
6.7,0.74,04/11/1981 00:00:00
6.3,0.72,04/12/1981 00:00:00
6.7,0.7,04/13/1981 00:00:00
6.6,0.68,04/14/1981 00:00:00
6.4,0.7,04/15/1981 00:00:00
6.6,0.7,04/16/1981 00:00:00
5.6,0.7,04/17/1981 00:00:00
5.6,0.73,04/18/1981 00:00:00
5.5,0.76,04/19/1981 00:00:00
5.9,0.7,04/20/1981 00:00:00
7.1,0.68,04/21/1981 00:00:00
6.9,0.67,04/22/1981 00:00:00
7.6,0.67,04/23/1981 00:00:00
7.6,0.7,04/24/1981 00:00:00
6.9,0.74,04/25/1981 00:00:00
6.8,0.67,04/26/1981 00:00:00
7.4,0.68,04/27/1981 00:00:00
8.1,0.68,04/28/1981 00:00:00
8.6,0.7,04/29/1981 00:00:00
6.3,0.72,04/30/1981 00:00:00
7.8,0.72,05/01/1981 00:00:00
8.7,0.68,05/02/1981 00:00:00
7.8,0.7,05/03/1981 00:00:00
7.2,0.65,05/04/1981 00:00:00
7.1,0.72,05/05/1981 00:00:00
5,0.75,05/06/1981 00:00:00
5.5,0.77,05/07/1981 00:00:00
3.7,0.8,05/08/1981 00:00:00
4.5,0.8,05/09/1981 00:00:00
4.4,0.79,05/10/1981 00:00:00
5.9,0.81,05/11/1981 00:00:00
4.8,0.76,05/12/1981 00:00:00
5.3,0.74,05/13/1981 00:00:00
6.4,0.7,05/14/1981 00:00:00
4.5,0.74,05/15/1981 00:00:00
5.8,0.77,05/16/1981 00:00:00
5.2,0.75,05/17/1981 00:00:00
5.8,0.82,05/18/1981 00:00:00
3.6,0.79,05/19/1981 00:00:00
4.8,0.74,05/20/1981 00:00:00
4.2,0.76,05/21/1981 00:00:00
4,0.8,05/22/1981 00:00:00
4.3,0.79,05/23/1981 00:00:00
5.1,0.76,05/24/1981 00:00:00
3.9,0.8,05/25/1981 00:00:00
3.9,0.78,05/26/1981 00:00:00
4.4,0.77,05/27/1981 00:00:00
5.3,0.72,05/28/1981 00:00:00
4.7,0.83,05/29/1981 00:00:00
3.3,0.84,05/30/1981 00:00:00
4.6,0.76,05/31/1981 00:00:00
6.2,0.77,06/01/1981 00:00:00
5.8,0.76,06/02/1981 00:00:00
3.7,0.82,06/03/1981 00:00:00
5,0.76,06/04/1981 00:00:00
4,0.87,06/05/1981 00:00:00
4.9,0.83,06/06/1981 00:00:00
3.7,0.84,06/07/1981 00:00:00
6.6,0.79,06/08/1981 00:00:00
5.6,0.8,06/09/1981 00:00:00
3.1,0.86,06/10/1981 00:00:00
4.7,0.84,06/11/1981 00:00:00
4,0.89,06/12/1981 00:00:00
3.9,0.86,06/13/1981 00:00:00
2.9,0.83,06/14/1981 00:00:00
2.6,0.84,06/15/1981 00:00:00
3.3,0.82,06/16/1981 00:00:00
5.6,0.77,06/17/1981 00:00:00
5.1,0.81,06/18/1981 00:00:00
2.9,0.87,06/19/1981 00:00:00
4.3,0.87,06/20/1981 00:00:00
2.6,0.92,06/21/1981 00:00:00
3.6,0.84,06/22/1981 00:00:00
3.8,0.82,06/23/1981 00:00:00
3.8,0.78,06/24/1981 00:00:00
4.5,0.78,06/25/1981 00:00:00
4.2,0.77,06/26/1981 00:00:00
5.4,0.74,06/27/1981 00:00:00
3.8,0.79,06/28/1981 00:00:00
2.9,0.86,06/29/1981 00:00:00
5.6,0.77,06/30/1981 00:00:00
6.2,0.8,07/01/1981 00:00:00
3.6,0.87,07/02/1981 00:00:00
2.4,0.85,07/03/1981 00:00:00
3.4,0.86,07/04/1981 00:00:00
6.4,0.77,07/05/1981 00:00:00
6.8,0.76,07/06/1981 00:00:00
5.4,0.82,07/07/1981 00:00:00
5,0.78,07/08/1981 00:00:00
4.7,0.84,07/09/1981 00:00:00
2.3,0.88,07/10/1981 00:00:00
3.5,0.86,07/11/1981 00:00:00
4.5,0.83,07/12/1981 00:00:00
3.5,0.84,07/13/1981 00:00:00
2.4,0.88,07/14/1981 00:00:00
2.1,0.87,07/15/1981 00:00:00
3.6,0.8,07/16/1981 00:00:00
4.8,0.82,07/17/1981 00:00:00
4.5,0.83,07/18/1981 00:00:00
1.5,0.86,07/19/1981 00:00:00
3.1,0.84,07/20/1981 00:00:00
3.2,0.86,07/21/1981 00:00:00
2.1,0.86,07/22/1981 00:00:00
4.1,0.78,07/23/1981 00:00:00
3.7,0.81,07/24/1981 00:00:00
3.1,0.8,07/25/1981 00:00:00
3.3,0.88,07/26/1981 00:00:00
2.7,0.84,07/27/1981 00:00:00
3.9,0.8,07/28/1981 00:00:00
4,0.8,07/29/1981 00:00:00
3.5,0.85,07/30/1981 00:00:00
4.2,0.78,07/31/1981 00:00:00
4.7,0.84,08/01/1981 00:00:00
2.6,0.86,08/02/1981 00:00:00
3.6,0.86,08/03/1981 00:00:00
2.6,0.88,08/04/1981 00:00:00
3.4,0.86,08/05/1981 00:00:00
3.8,0.85,08/06/1981 00:00:00
2.8,0.86,08/07/1981 00:00:00
2.6,0.85,08/08/1981 00:00:00
2.7,0.87,08/09/1981 00:00:00
3.9,0.84,08/10/1981 00:00:00
4,0.82,08/11/1981 00:00:00
5.5,0.78,08/12/1981 00:00:00
4.4,0.84,08/13/1981 00:00:00
2,0.86,08/14/1981 00:00:00
2.2,0.87,08/15/1981 00:00:00
4.6,0.83,08/16/1981 00:00:00
4.6,0.82,08/17/1981 00:00:00
6.2,0.83,08/18/1981 00:00:00
4.4,0.8,08/19/1981 00:00:00
4.8,0.79,08/20/1981 00:00:00
4.7,0.83,08/21/1981 00:00:00
2.9,0.84,08/22/1981 00:00:00
4.3,0.81,08/23/1981 00:00:00
6.4,0.78,08/24/1981 00:00:00
6.6,0.84,08/25/1981 00:00:00
4,0.8,08/26/1981 00:00:00
6.3,0.75,08/27/1981 00:00:00
5.8,0.76,08/28/1981 00:00:00
6.4,0.76,08/29/1981 00:00:00
6,0.76,08/30/1981 00:00:00
5.6,0.74,08/31/1981 00:00:00
4.2,0.8,09/01/1981 00:00:00
4.9,0.74,09/02/1981 00:00:00
4.3,0.76,09/03/1981 00:00:00
2.5,0.82,09/04/1981 00:00:00
3.7,0.81,09/05/1981 00:00:00
3.8,0.79,09/06/1981 00:00:00
4.8,0.76,09/07/1981 00:00:00
4.2,0.77,09/08/1981 00:00:00
3.5,0.78,09/09/1981 00:00:00
3.6,0.76,09/10/1981 00:00:00
3.7,0.77,09/11/1981 00:00:00
3.6,0.81,09/12/1981 00:00:00
3.9,0.78,09/13/1981 00:00:00
3.1,0.82,09/14/1981 00:00:00
3.4,0.8,09/15/1981 00:00:00
4,0.77,09/16/1981 00:00:00
2.9,0.9,09/17/1981 00:00:00
3.1,0.84,09/18/1981 00:00:00
2.2,0.9,09/19/1981 00:00:00
2.5,0.84,09/20/1981 00:00:00
3.4,0.82,09/21/1981 00:00:00
4.3,0.84,09/22/1981 00:00:00
4.5,0.85,09/23/1981 00:00:00
2.4,0.88,09/24/1981 00:00:00
3.6,0.81,09/25/1981 00:00:00
1.1,0.92,09/26/1981 00:00:00
1.6,0.92,09/27/1981 00:00:00
2.3,0.87,09/28/1981 00:00:00
4.3,0.79,09/29/1981 00:00:00
3.9,0.81,09/30/1981 00:00:00
5.1,0.78,10/01/1981 00:00:00
4.9,0.8,10/02/1981 00:00:00
5.3,0.79,10/03/1981 00:00:00
3,0.84,10/04/1981 00:00:00
4.3,0.81,10/05/1981 00:00:00
4.4,0.76,10/06/1981 00:00:00
4.6,0.76,10/07/1981 00:00:00
4.4,0.74,10/08/1981 00:00:00
2.7,0.91,10/09/1981 00:00:00
0.8,0.93,10/10/1981 00:00:00
3.1,0.84,10/11/1981 00:00:00
3.9,0.82,10/12/1981 00:00:00
3.1,0.85,10/13/1981 00:00:00
1.1,0.94,10/14/1981 00:00:00
2.8,0.85,10/15/1981 00:00:00
2.2,0.91,10/16/1981 00:00:00
3.1,0.84,10/17/1981 00:00:00
4,0.78,10/18/1981 00:00:00
4,0.84,10/19/1981 00:00:00
3.5,0.81,10/20/1981 00:00:00
3.2,0.78,10/21/1981 00:00:00
2,0.86,10/22/1981 00:00:00
3.1,0.83,10/23/1981 00:00:00
3.5,0.79,10/24/1981 00:00:00
4.1,0.82,10/25/1981 00:00:00
3.5,0.84,10/26/1981 00:00:00
1.7,0.89,10/27/1981 00:00:00
2.4,0.87,10/28/1981 00:00:00
2.2,0.86,10/29/1981 00:00:00
1.9,0.88,10/30/1981 00:00:00
2.6,0.84,10/31/1981 00:00:00
2.4,0.88,11/01/1981 00:00:00
2.9,0.81,11/02/1981 00:00:00
